locationId;Estacion_de_Medicion;Material_Particular;Valor;dateUtc;dateLocal;Unidad_Medida;latitude;longitude;Pais;city;isMobile;Entidad;sensorType
1356;Carvajal_Incolcar;pm10;45.4;2023-03-12T11:44:04+00:00;2023-03-12T06:44:04-05:00;Microgramo/m³;4.592951;-74.1457;Colombia;Bogota;false;community;low-cost sensor
1357;Carvajal_Incolcar;pm10;45.4;2023-03-12T19:14:08+00:00;2023-03-12T14:14:08-05:00;Microgramo/m³;4.592951;-74.1457;Colombia;Bogota;false;community;low-cost sensor
1358;Carvajal_Incolcar;pm10;45.4;2023-03-12T22:36:11+00:00;2023-03-12T17:36:11-05:00;Microgramo/m³;4.592951;-74.1457;Colombia;Bogota;false;community;low-cost sensor
1359;Carvajal_Incolcar;pm10;46.2;2023-03-12T19:20:09+00:00;2023-03-12T14:20:09-05:00;Microgramo/m³;4.592951;-74.1457;Colombia;Bogota;false;community;low-cost sensor
1360;Carvajal_Incolcar;pm10;46.3;2023-03-12T12:12:04+00:00;2023-03-12T07:12:04-05:00;Microgramo/m³;4.592951;-74.1457;Colombia;Bogota;false;community;low-cost sensor
1361;Carvajal_Incolcar;pm10;46.3;2023-03-12T14:32:06+00:00;2023-03-12T09:32:06-05:00;Microgramo/m³;4.592951;-74.1457;Colombia;Bogota;false;community;low-cost sensor
1362;Carvajal_Incolcar;pm10;46.3;2023-03-12T16:44:07+00:00;2023-03-12T11:44:07-05:00;Microgramo/m³;4.592951;-74.1457;Colombia;Bogota;false;community;low-cost sensor
1363;Carvajal_Incolcar;pm10;46.4;2023-03-12T20:08:09+00:00;2023-03-12T15:08:09-05:00;Microgramo/m³;4.592951;-74.1457;Colombia;Bogota;false;community;low-cost sensor
1364;Carvajal_Incolcar;pm10;46.5;2023-03-12T15:52:06+00:00;2023-03-12T10:52:06-05:00;Microgramo/m³;4.592951;-74.1457;Colombia;Bogota;false;community;low-cost sensor
1365;Carvajal_Incolcar;pm10;46.6;2023-03-12T12:34:04+00:00;2023-03-12T07:34:04-05:00;Microgramo/m³;4.592951;-74.1457;Colombia;Bogota;false;community;low-cost sensor
1366;Carvajal_Incolcar;pm10;46.6;2023-03-12T14:34:06+00:00;2023-03-12T09:34:06-05:00;Microgramo/m³;4.592951;-74.1457;Colombia;Bogota;false;community;low-cost sensor
1367;Carvajal_Incolcar;pm10;46.7;2023-03-12T11:50:04+00:00;2023-03-12T06:50:04-05:00;Microgramo/m³;4.592951;-74.1457;Colombia;Bogota;false;community;low-cost sensor
1368;Carvajal_Incolcar;pm10;46.7;2023-03-12T13:40:05+00:00;2023-03-12T08:40:05-05:00;Microgramo/m³;4.592951;-74.1457;Colombia;Bogota;false;community;low-cost sensor
1369;Carvajal_Incolcar;pm10;46.7;2023-03-13T00:20:13+00:00;2023-03-12T19:20:13-05:00;Microgramo/m³;4.592951;-74.1457;Colombia;Bogota;false;community;low-cost sensor
1370;Carvajal_Incolcar;pm10;46.8;2023-03-12T19:18:09+00:00;2023-03-12T14:18:09-05:00;Microgramo/m³;4.592951;-74.1457;Colombia;Bogota;false;community;low-cost sensor
1371;Carvajal_Incolcar;pm10;46.9;2023-03-12T12:10:04+00:00;2023-03-12T07:10:04-05:00;Microgramo/m³;4.592951;-74.1457;Colombia;Bogota;false;community;low-cost sensor
1372;Carvajal_Incolcar;pm10;46.9;2023-03-12T19:08:08+00:00;2023-03-12T14:08:08-05:00;Microgramo/m³;4.592951;-74.1457;Colombia;Bogota;false;community;low-cost sensor
1373;Carvajal_Incolcar;pm10;47;2023-03-12T12:32:04+00:00;2023-03-12T07:32:04-05:00;Microgramo/m³;4.592951;-74.1457;Colombia;Bogota;false;community;low-cost sensor
1374;Carvajal_Incolcar;pm10;47;2023-03-12T12:56:04+00:00;2023-03-12T07:56:04-05:00;Microgramo/m³;4.592951;-74.1457;Colombia;Bogota;false;community;low-cost sensor
